Product Name,Active Ingredient,Application Type,Product Registrant,Date of Approval,Registration No.
"UPTRAVI FILM-COATED TABLETS 200 MCG, 400 MCG, 600 MCG, 800 MCG, 1000 MCG, 1200 MCG, 1400 MCG AND 1600 MCG",Selexipag,NDA-1: New chemical entity and NDA-3: New strength,DKSH SINGAPORE PTE. LTD.,6 July 2017,"SIN15283P, SIN15824P, SIN15285P, SIN15286P, SIN15287P, SIN15288P, SIN15289P and SIN15290P"
AZILECT TABLET 1 MG,Rasagiline,NDA-1: New chemical entity,LUNDBECK SINGAPORE PTE. LTD.,7 July 2017,SIN15291P
PORTRAZZA CONCENTRATE FOR SOLUTION FOR INFUSION 800 MG/ 50 ML,Necitumumab,NDA-1: New biological entity,ELI LILLY (SINGAPORE) PTE. LTD.,7 July 2017,SIN15292P
ALOXI SOFT CAPSULES 500 MCG,Palonosetron,NDA-2: New dosage form,MUNDIPHARMA PHARMACEUTICALS PTE. LTD.,7 July 2017,SIN15293P
BRILINTA TABLET 60 MG,Ticagrelor,NDA-2: New strength/ indication,ASTRAZENECA SINGAPORE PTE. LTD.,07/07/2017,SIN15294P
DICLECTIN DELAYED RELEASE TABLETS 10 MG/ 10 MG,Doxylamine Succinate/ Pyridoxine Hydrochloride,NDA-1: New chemical entity,UNITED ITALIAN TRADING CORPORATION (PRIVATE) LIMITED,20 July 2017,SIN15301P
D-CURE ORAL SOLUTION 25000 IU,Cholecalciferol,NDA-2: New dosage form,HYPHENS PHARMA PTE. LTD.,5 Jun 2017,SIN15254P
DYMISTA NASAL SPRAY,Azelastine Hydrochloride and Fluticasone Propionate,NDA-2: New combination,PHARMLINE MARKETING PTE. LTD.,5 Jun 2017,SIN15255P
SYNAZE NASAL SPRAY,Azelastine Hydrochloride and Fluticasone Propionate,NDA-2: New combination,PHARMLINE MARKETING PTE. LTD.,5 Jun 2017,SIN15256P
"VENCLEXTA FILM-COATED TABLET 10 MG, 50 MG AND 100 MG",Venetoclax,NDA-1: New chemical entity and NDA-3: New strength,ABBVIE PTE. LTD.,8 Jun 2017,"SIN15265P, SIN15266P and SIN15267P"
BUFFERED BINOSTO EFFERVESCENT TABLET 70 MG,Alendronic Acid,NDA-2: New dosage form,ZUELLIG PHARMA PTE. LTD.,8 Jun 2017,SIN15268P
GLYXAMBI FILM-COATED TABLETS 10 MG/ 5 MGAND 25 MG/ 5 MG,Empagliflozin/ Linagliptin,NDA-2: New combination and NDA-3: New strength,BOEHRINGER INGELHEIM SINGAPORE PTE. LTD.,16 Jun 2017,SIN15272P and SIN15273P
DUAKLIR GENUAIR INHALATION POWDER 340/ 12 MCG/ DOSE,Aclidinium Bromide/ Formoterol Fumarate Dihydrate,NDA-2: New combination,ASTRAZENECA SINGAPORE PTE. LTD.,3 May2017,SIN15231P
DYSPORT FOR INJECTION 300U/VIAL,Clostridium Botulinum Type A Toxin-Haemagglutinin Complex,NDA-3: New strength,A. MENARINI SINGAPORE PTE. LTD.,16 May2017,SIN15238P
"ADJUPANRIX PANDEMIC INFLUENZA VACCINE (SPLIT VIRION, INACTIVATED, AS03 ADJUVANTED)","Split Influenza Virus, Inactivated, containing antigen eqv A/Vietnam/1194/2004 (H5N1)",NDA-2: New indication/ dosing regimen,GLAXOSMITHKLINE PTE. LTD.,17 May 2017,SIN15239P
AVONEX SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 30 MCG/ 0.5 MLAVONEX SOLUTION FOR INJECTION IN PRE-FILLED PEN 30 MCG/ 0.5 ML,Interferon Beta-1a,NDA-2: New dosage form,UCB TRADING (SG) PTE. LTD.,18May 2017,SIN15240P and SIN15241P
PAZEO OPTHALMIC SOLUTION 0.7%,Olopatadine,NDA-2: new strength,ALCON PTE LTD,22 May 2017,SIN15242P
GLIOLAN POWDER FOR ORAL SOLUTION 30MG/ML,Aminolevulinic acid,NDA-1: New chemical entity,LINK HEALTHCARE SINGAPORE PTE LTD,26 May2017,SIN15244P
HUMIRA SOLUTION FOR INJECTION 40MG/0.4ML (SYRINGE AND PEN),Adalimumab,NDA-2: New strength/formulation,ABBVIE PTE LTD,26 May2017,SIN15248P
TRAVATAN C EYE DROP SOLUTION 30 MCG/ ML,Travoprost,NDA-2: New strength,ALCON PTE. LTD.,10 Apr 2017,SIN15206P
KEFENTECH AIR 30 MG/ SHEET,Ketoprofen,NDA-2: New indication,PHARMAFORTE SINGAPORE PTE. LTD.,18 Apr 2017,SIN15212P
"JADENU FILM COATED TABLET 90 MG, 180 MG AND 360 MG",Deferasirox,NDA-2: New dosage form and NDA-3: New strength,NOVARTIS (SINGAPORE) PTE. LTD.,18 Apr 2017,"SIN15213P, SIN15214P and SIN15215P"
"IKERVIS EYE DROPS, EMULSION 1 MG/ ML",Ciclosporin,NDA-2: New dosage form,SANTEN PHARMACEUTICAL ASIA PTE. LTD.,20 Apr 2017,SIN15216P
COTELLIC FILM-COATED TABLET 20 MG,Cobimetinib,NDA-1: New chemical entity,ROCHE SINGAPORE PTE. LTD.,21 Apr 2017,SIN15219P
KANARB TABLET 60 MG AND 120 MG,Fimasartan Potassium,NDA-1: New chemical entity and NDA-3: New strength,ZUELLIG PHARMA PTE. LTD.,24 Apr 2017,SIN15221P and SIN15222P
REPATHA SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 140 MG/ MLREPATHA SOLUTION FOR INJECTION IN PRE-FILLED AUTOINJECTOR 140 MG/ ML,Evolocumab,NDA-1: New biological entity and NDA-2: New dosage form,AMGEN SINGAPORE MANUFACTURING PTE. LTD.,24 Apr 2017,SIN15223P and SIN15224P
ALECENSA HARD CAPSULE 150 MG,Alectinib,NDA-1: New chemical entity,ROCHE SINGAPORE PTE. LTD.,24 Apr 2017,SIN15220P
PRALUENT SOLUTION FOR INJECTION IN A PRE-FILLED SYRINGE AND PEN 75 MG/ MLPRALUENT SOLUTION FOR INJECTION IN A PRE-FILLED SYRINGE AND PEN 150 MG/ ML,Alirocumab,NDA-1: New biological entity and NDA-3: New strength,SANOFI-AVENTIS SINGAPORE PTE. LTD.,27 Apr 2017,SIN15228P and SIN15229P
"INVEGA TRINZA PROLONGED RELEASE SUSPENSION FOR IM INJECTION 175 MG/ 0.875 ML, 263 MG/ 1.315 ML, 350 MG/ 1.75 ML AND 525 MG/ 2.625 ML",Paliperidone,NDA-2: New strength/ indication/ dosing regimen NDA-3: New strength,JOHNSON & JOHNSON PTE. LTD.,6 Mar 2017,"SIN15186P, SIN15187P, SIN15188P and SIN15189P"
EKLIRA GENUAIR INHALATION POWDER 322 MICROGRAM/ DOSE,Aclidinium,NDA-1: New chemical entity,ASTRAZENECA SINGAPORE PTE. LTD.,7 Mar 2017,SIN15190P
ABILIFY MAINTENA POWDER AND SOLVENT FOR PROLONGED RELEASE SUSPENSION FOR INJECTION 400 MG,Aripiprazole,NDA-2: New dosage form/ indication,LUNDBECK SINGAPORE PTE. LTD.,14 Mar 2017,SIN15192P
NAUSICALM TABLET 50 MG,Cyclizine Hydrochloride,NDA-1: New chemical entity,AFT PHARMACEUTICALS SINGAPORE PTE. LTD.,20 Mar 2017,SIN15193P
SOOLANTRA CREAM 10 MG/ G,Ivermectin,NDA-2: New dosage form/ indication/ dosing regimen,GALDERMA SINGAPORE PTE. LTD.,23 Mar 2017,SIN15197P
NUROMOL FILM COATED TABLET 200 MG/ 500 MG,Ibuprofen/ Paracetamol,NDA-2: New combination,RENCKITT BENCKISER (SINGAPORE) PTE. LTD.,28 Mar 2017,SIN15200P
"OTEZLA TABLET STARTER PACK,OTEZLA TABLET 30 MG",Apremilast,NDA-1: New chemical entity and NDA-3: New strength,CELGENE PTE. LTD.,29 Mar 2017,SIN15202P and SIN15203P
"SIGNIFOR LAR POWDER AND SOLVENT FOR SUSPENSION FOR INJECTION 20 MG, 40MG AND 60 MG",Pasireotide,NDA-2: New formulation/ strength/ indication and NDA-3: New strength,NOVARTIS (SINGAPORE) PTE. LTD.,2 Feb 2017,"SIN15168P, SIN15169P and SIN15170P"
PERIOCLINE PERIODONTAL OINTMENT 2% W/W,Minocycline,NDA-2: New dosage form/ strength/ indication/ dosing regimen,SUNSTAR SINGAPORE PTE.LTD.,3 Feb 2017,SIN15172P
DURATOCIN RTS SOLUTION FOR INJECTION 100 MCG/ ML,Carbetocin,NDA-2: New formulation,FERRING PHARMACEUTICALS PTE. LTD.,8 Feb 2017,SIN15173P
MEKINIST FILM-COATED TABLETS 0.5 MG AND 2 MG,Trametinib,NDA-1: New chemical entity and NDA-3: New strength,NOVARTIS (SINGAPORE) PTE. LTD.,27 Feb 2017,SIN15181P and SIN15182P
KYPROLIS POWDER FOR SOLUTION FOR INFUSION 60 MG/ VIAL,Carfilzomib,NDA-1: New chemical entity,ADOR CONSULTING PTE. LTD.,28 Feb 2017,SIN15184P
CLOBEX SPRAY 0.05% W/W,Clobetasol Propionate,NDA-2: New dosage form,GALDERMA SINGAPORE PTE. LTD.,28 Feb 2017,SIN15185P
INOVELON FILM-COATED TABLET 200 MG,Rufinamide,NDA-1: New chemical entity,EISAI (SINGAPORE) PTE. LTD.,5 Jan 2017,SIN15146P
"ABSTRAL SUBLINGUAL TABLET 100 MCG, 200 MCG, 300 MCG, 400 MCG, 600 MCG AND 800 MCG",Fentanyl,NDA-2: New dosage form and NDA-3: New strength,A. MENARINI SINGAPORE PTE. LTD.,6 Jan 2017,"SIN15147P, SIN15148P, SIN15149P, SIN15150P, SIN15151P and SIN15152P"
"ALBUNORM SOLUTION FOR INFUSION 5%, 20% AND 25%",Human Albumin,NDA-2: New formulation and NDA-3: New strength,WELLCHEM PHARMACEUTICALS PTE. LTD.,19 Jan 2017,"SIN15159P, SIN15160P and SIN15161P"
GENVOYA FILM COATED TABLET 150 MG/ 150 MG/ 200 MG/ 10 MG,Elvitegravir/ Cobicistat/ Emtricitabine/ Tenofovir Alafenamide Fumarate,NDA-1: New chemical entity,GILEAD SCIENCES SINGAPORE PTE. LTD.,20 Jan 2017,SIN15165P
"NINLARO CAPSULE 2.3 MG, 3 MG AND 4 MG",Ixazomib,NDA-1: New chemical entity and NDA-3: New strength,TAKEDA PHARMACEUTICALS (ASIA PACIFIC) PTE. LTD.,20 Jan 2017,"SIN15162P, SIN15163P and SIN15164P"
ESBRIET HARD CAPSULE 267 MG,Pirfenidone,NDA-1: New chemical entity,ROCHE SINGAPORE PTE. LTD.,1 Dec 2016,SIN15124P
PENTASA RECTAL SUSPENSION 1 G,Mesalazine,NDA-2: New dosage form,FERRING PHARMACEUTICALS PTE. LTD.,14 Dec 2016,SIN15137P
TOUJEO SOLOSTAR 300 UNITS/ ML SOLUTION FOR INJECTION IN A PRE-FILLED PEN,Insulin Glargine,NDA-2: New strength,SANOFI-AVENTIS SINGAPORE PTE. LTD.,14 Dec 2016,SIN15138P
TAGRISSO TABLET 40 MG AND 80 MG,Osimertinib,NDA-1: New chemical entity and NDA-3: New strength,ASTRAZENECA SINGAPORE PTE. LTD.,15 Dec 2016,SIN15139P and SIN15140P
GARDASIL 9 SUSPENSION FOR INJECTION,Human Papillomavirus Type 11 L1 ProteinHuman Papillomavirus Type 16 L1 ProteinHuman Papillomavirus Type 18 L1 ProteinHuman Papillomavirus Type 31 L1 ProteinHuman Papillomavirus Type 33 L1 ProteinHuman Papillomavirus Type 45 L1 ProteinHuman Papillomavirus Type 52 L1 ProteinHuman Papillomavirus Type 58 L1 ProteinHuman Papillomavirus Type 6 L1 Protein,NDA-1: New biological entity,MSD PHARMA (SINGAPORE) PTE. LTD.,16 Dec 2016,SIN15141P
FLUIMUCIL GRANULES 600 MG/ SACHET,Acetylcysteine,NDA-2: New dosage form,UNITED ITALIAN TRADING CORPORATION (PTE) LTD.,29 Dec 2016,SIN15144P
SYNAGIS SOLUTION FOR INJECTION 100 MG/ ML,Palivizumab,NDA-2: New dosage form,ABBVIE PTE. LTD.,7 Nov 2016,SIN15112P
NIVOLUMAB BMS CONCENTRATE FOR SOLUTION FOR INFUSION 10 MG/ ML,Nivolumab,NDA-2: New indication,BRISTOL-MYERS SQUIBB (SINGAPORE) PTE. LTD.,9 Nov 2016,SIN15117P
"ATOZET TABLET 10 MG/ 10 MG, 10 MG/ 20 MG, 10 MG/ 40 MG AND 10 MG/ 80 MG",Ezetimibe/ Atorvastatin,NDA-2: New combination and NDA-3: New strength,MSD PHARMA (SINGAPORE) PTE. LTD.,9 Nov 2016,"SIN15113P, SIN15114P, SIN15115P and SIN15116P"
BYDUREON POWDER AND SOLVENT FOR PROLONGED- RELEASE SUSPENSION FOR INJECTION IN PRE-FILLED PEN 2 MG,Exenatide,NDA-2: New dosage form/ dosing regimen,ASTRAZENECA SINGAPORE PTE. LTD.,10 Oct 2016,SIN15095P
"DENGVAXIA, POWDER AND SOLVENT FOR SUSPENSION FOR INJECTION","CYD Dengue Virus Serotypes 1, 2, 3 and 4",NDA-1: New biological entity,SANOFI-AVENTIS SINGAPORE PTE. LTD.,11 Oct 2016,SIN15096P
"DENGVAXIA MD, POWDER AND SOLVENT FOR SUSPENSION FOR INJECTION","CYD Dengue Virus Serotypes 1, 2, 3 and 4",NDA-2: New formulation (multi-dose),SANOFI-AVENTIS SINGAPORE PTE. LTD.,11 Oct 2016,SIN15097P
NEUROBION TABLET (OTC),"Cyanocobalamin, Pyridoxine Hydrochloride and Thiamine Disulphide",NDA-2: New indication,MERCK PTE. LTD.,13 Oct 2016,SIN15098P
TRIUMEQ FILM COATED TABLET 50 MG/ 600 MG/ 300 MG,Dolutegravir/ Abacavir/ Lamivudine,NDA-2: New combination,GLAXOSMITHKLINE PTE. LTD.,14 Oct 2016,SIN15100P
BLINCYTO POWDER FOR INFUSION 35 MCG/ VIAL,Blinatumomab,NDA-1: New biological entity,ADOR CONSULTING PTE. LTD.,18 Oct 2016,SIN15103P
DARZALEX CONCENTRATE FOR SOLUTION FOR INFUSION 100 MG/ 5 ML AND 400 MG/ 20 ML,Daratumumab,NDA-1: New biological entity and NDA-3: New strength,JOHNSON & JOHNSON PTE. LTD.,26 Oct 2016,"SIN15110P, SIN15111P"
"SIMBRINZA EYE DROPS, SUSPENSION 10 MG/ML + 2 MG/ML","Brinzolamide, Brimonidine Tartrate",NDA-2: New combination,ALCON PTE. LTD.,6 Sep 2016,SIN15085P
LATUDA TABLET 40 MG AND 80 MG,Lurasidone Hydrochloride,NDA-1: New chemical entity and NDA-3: New strength,DKSH SINGAPORE PTE. LTD.,14 Sep 2016,SIN15088P and SIN15089P
VOLIBRIS FILM-COATED TABLET 5 MG AND 10 MG,Ambrisentan,NDA-1: New chemical entity and NDA-3: New strength,GLAXOSMITHKLINE PTE. LTD.,30 Sep 2016,SIN15093P and SIN15094P
TAPCOM-S OPHTHALMIC SOLUTION,"Tafluprost, Timolol",NDA-2: New combination,SANTEN PHARMACEUTICAL ASIA PTE. LTD.,2 Aug 2016,SIN15060P
"JARDIANCE DUO FILM COATED TABLET 5 MG/500 MG, 12.5 MG/500 MG, 12.5 MG/850 MG, 12.5 MG/1000 MG","Empagliflozin, Metformin Hydrochloride",NDA-2: New combination and NDA-3: New strength,BOEHRINGER INGELHEIM SINGAPORE PTE. LTD.,3 Aug 2016,"SIN15061P, SIN15062P, SIN15063P, SIN15064P"
"FARYDAK HARD GELATIN CAPSULE 10 MG, 15 MG, 20 MG",Panobinostat,NDA-1: New chemical entity and NDA-3: New strength,NOVARTIS (SINGAPORE) PTE. LTD.,24 Aug 2016,"SIN15071P, SIN15072P, SIN15073P"
"XIGDUO XR TABLETS 5 MG/500 MG, 10 MG/500 MG, 5 MG/1000 MG, 10 MG/1000 MG","Dapagliflozin, Metformin Hydrochloride",NDA-2: New combination and NDA-3: New strength,ASTRAZENECA SINGAPORE PTE. LTD.,30 Aug 2016,"SIN15077P, SIN15078P, SIN15079P, SIN15080P"
BASAGLAR INJECTION 100 UNITS/MLBASAGLAR KWIKPEN INJECTION 100 UNITS/ML,Insulin Glargine,NDA-2: Biosimilar,ELI LILLY (SINGAPORE) PTE. LTD.,30 Aug 2016,"SIN15081P, SIN15082P"
PRAXBIND SOLUTION FOR INJECTION/INFUSION 50 MG/ML,Idarucizumab,NDA-1: New biological entity,BOEHRINGER INGELHEIM SINGAPORE PTE. LTD.,31 Aug 2016,SIN15083P
NOXAFIL TABLET 100 MG,Posaconazole,NDA-2: New dosage form/ dosing regimen,MSD PHARMA (SINGAPORE) PTE. LTD.,5 Jul 2016,SIN15045P
OLYSIO ORAL CAPSULES 150 MG,Simeprevir,NDA-1: New chemical entity,JOHNSON & JOHNSON PTE. LTD.,15 Jul 2016,SIN15046P
CRAVIT OPHTHALMIC SOLUTION 1.5% W/V,Levofloxacin Hydrate,NDA-2: New strength,SANTEN PHARMACEUTICAL ASIA PTE. LTD.,18 Jul 2016,SIN15047P
"IBRANCE CAPSULE 75MG, 100MG AND 125MG",Palbociclib,NDA-1: New chemical entity and NDA-3: New strength,PFIZER PTE. LTD.,21 Jul 2016,"SIN15048P, SIN15049P, SIN15050P"
OCTOCAINE 100 INJECTION,"Lidocaine Hydrochloride, Epinephrine",NDA-2: New strength,RAYDENT SUPPLIES (S) PTE. LTD.,21 Jul 2016,SIN15051P
TECFIDERA GASTRO-RESISTANT HARD CAPSULES 120MG AND 240MG,Dimethyl Fumarate,NDA-1: New chemical entity and NDA-3: New strength,UCB TRADING (SINGAPORE) PTE. LTD.,26 Jul 2016,"SIN15053P, SIN15054P"
PNEUMOVAX 23 (PREFILLED SYRINGE),Pneumococcal Polysaccharides 23 Most Prevalent Types,NDA-2: New dosage form,MSD PHARMA (SINGAPORE) PTE. LTD.,27 Jul 2016,SIN15055P
LYNPARZA HARD CAPSULE 50MG,Olaparib,NDA-1: New chemical entity,ASTRA ZENECA SINGAPORE PTE LTD,1 Jun 2016,SIN15025P
JAYDESS INTRAUTERINE SYSTEM 13.5MG,Levonorgestrel,NDA-2: New strength,BAYER (SOUTH EAST ASIA) PTE LTD,1 Jun 2016,SIN15024P
MABTHERA SOLUTION FOR SUBCUTANEOUS INJECTION 1400MG,Rituximab,NDA-2: New dosage form/ dosing regimen,ROCHE SINGAPORE PTE LTD,1 Jun 2016,SIN15023P
TETRAXIM VACCINE,"Tetanus Toxoid, Poliovirus (Inactivated) Type 3 (Saukett), Poliovirus (Inactivated) Type 2 (MEF-1), Poliovirus (Inactivated) Type 1 (Mahoney), Pertussis Toxoid, Filamentous Haemagglutinin and Diphtheria Toxoid",NDA-2: New indication,SANOFI-AVENTIS SINGAPORE PTE LTD,6 Jun 2016,SIN15026P
AKYNZEO CAPSULES 300MG/0.5MG,Netupitant and Palonosetron,NDA-1: New chemical entity,MUNDIPHARMA PHARMACEUTICALS PTE LTD,8 Jun 2016,SIN15031P
CYRAMZA CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/10ML AND 500MG/50ML,Ramucirumab,NDA-1: New biological entity and NDA-3: New strength,ELI LILY SINGAPORE PTE LTD,21 Jun 2016,SIN15035P and SIN15036P
CONCOR AMLO TABLET 5MG/5MG AND 5MG/10MG,Bisoprolol and Amlodipine,NDA-2: New combination and NDA-3: New strength,MERCK PTE LTD,21 Jun 2016,SIN15033P and SIN15034P
MEZAVANT XL GASTRO-RESISTANT PROLONGED RELEASE TABLET 1200MG,Mesalazine,NDA-2: New dosage form,LF ASIA DISTRIBUTION,3 May 2016,SIN14999P
ENDOMETRIN VAGINAL TABLETS 100MG,"Progesterone, micronized",NDA-2: New dosage form,FERRING PHARMACEUTICALS PRIVATE LIMITED,12 May 2016,SIN15005P
TRIPLIXAM FILM COATED TABLET 2.5 MG / 0.625 MG / 5 MGTRIPLIXAM FILM COATED TABLET 5 MG / 1.25 MG / 5 MGTRIPLIXAM FILM COATED TABLET 5 MG / 1.25 MG / 10 MGTRIPLIXAM FILM COATED TABLET 10 MG / 2.5 MG / 5 MGTRIPLIXAM FILM COATED TABLET 10 MG / 2.5 MG / 10 MG,Perindopril arginine / Indapamide / Amlodipine,NDA-2: New combination,SERVIER (S) PTE LTD,23 May 2016,"SIN15010P, SIN15011P, SIN15012P, SIN15013P, SIN15014P"
ARNUITY ELLIPTA INHALATION POWDER 100 MCG/DOSE AND 200 MCG/DOSE,Fluticasone furoate (micronised),NDA-2: New formulation,GLAXOSMITHKLINE PTE LTD,27 May 2016,"SIN15021P, SIN15022P"
OPDIVO CONCENTRATE FOR SOLUTION FOR INFUSION 10 MG/ML,Nivolumab,NDA-1: New Biological Entity,BRISTOL-MYERS SQUIBB (SINGAPORE) PTE. LTD.,4 Apr 2016,SIN14975P
MALTOFER FILM COATED TABLETS 100 MG,Iron (III)-Hydroxide polymaltose complex,NDA-2: New dosage form,VIFOR PHARMA ASIA PACIFIC PTE LTD,6 Apr 2016,SIN14981P
LENVIMA HARD CAPSULE 4 MG AND 10 MG,Lenvatinib mesilate,NDA-1: New chemical entityNDA-3: New strength,EISAI (SINGAPORE) PTE. LTD.,7 Apr 2016,SIN14982P and SIN14983P
BIOFLOR CAPSULE 250MG,Saccharomyces boulardii (lyophilized),NDA-2: New dosage form,UNITED ITALIAN TRADING CORPORATION (PRIVATE) LIMITED,8 Apr 2016,SIN14986P
MISODEL VAGINAL DELIVERY SYSTEM 200 MCG,Misoprostol,NDA-2: New dosage form,FERRING PHARMACEUTICALS PTE. LTD.,19 Apr 2016,SIN14990P
GANFORT PF EYE DROPS,"Bimatoprost, Timolol",NDA-2: New formulation,ALLERGAN SINGAPORE PTE. LTD.,11 Mar 2016,SIN14966P
TRULICITY INJECTION 0.75 MG/0.5 ML AND 1.5 MG/0.5 ML,Dulaglutide,NDA-1: New chemical entityNDA-3: New strength,ELI LILLY (SINGAPORE) PTE LTD,18 Mar 2016,"SIN14967P, SIN14968P"
REMSIMA® POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100 MG/VIAL,Infliximab,NDA-2: Biosimilar,CELLTRION HEALTHCARE SINGAPORE PRIVATE LIMITED,28 Mar 2016,SIN14972P
FLUQUADRI VACCINE 0.5 ML/PREFILLED SYRINGEFLUQUADRI VACCINE 0.25 ML/PREFILLED SYRINGE,A/California/07/2009 X-179A (H1N1)A/Texas/50/2012 X-223A (H3N2)B/Brisbane/60/2008B/Massachusetts/2/2012,NDA-2: New combination,SANOFI-AVENTIS SINGAPORE PTE. LTD.,4 Feb 2016,"SIN14942P, SIN14941P"
"ENTRESTO FILM COATED TABLET 50MG, 100MG, 200MG",Sacubitril/Valsartan,NDA-1: New chemical entityNDA-3: New strength,NOVARTIS (SINGAPORE) PTE LTD,12 Feb 2016,"SIN14947P, SIN14948P, SIN14949P"
ENTYVIO POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 300MG/VIAL,Vedolizumab,NDA-1: New biological entity,TAKEDA PHARMACEUTICALS (ASIA PACIFIC) PTE. LTD.,12 Feb 2016,SIN14950P
"ZYDELIG FILM COATED TABLET 100MG, 150MG",Idelalisib,NDA-1: New chemical entityNDA-3: New strength,GILEAD SCIENCES SINGAPORE PTE LTD,16 Feb 2016,"SIN14951P, SIN14952P"
NUROFEN FOR CHILDREN 200MG/5ML SYRUP,Ibuprofen,NDA-3: New strength,RECKITT BENCKISER (SINGAPORE) PTE LTD.,19 Feb 2016,SIN14958P
FEBURIC FILM COATED TABLETS 80 MG,Febuxostat,NDA-1: New chemical entity,ASTELLAS PHARMA SINGAPORE PTE. LTD.,19 Feb 2016,SIN14959P
POLIO SABIN ONE AND THREE (ORAL) VACCINE,"Virus polio type 1, Strain LSc, 2ab, Polio virus type 3, Strain Leon 12a, 1b",NDA-2: New combination,GLAXOSMITHKLINE PTE. LTD.,23 Feb 2016,SIN14960P
"SYMBICORT RAPIHALER SUSPENSION FOR INHALATION 160/4.5, 80/4.5, 80/2.25, 40/2.25 MCG/ACTUATION",Budesonide / Formoterol Fumarate Dihydrate,"NDA-2: New indication, dosing regimenNDA-3: New Strength",ASTRAZENECA SINGAPORE PTE LTD,24 Feb 2016,"SIN14961P, SIN14962P, SIN14963P, SIN14964P"
COMPLERA FILM-COATED TABLET 200MG/25MG/300MG,Emtricitabine/Rilpivirine/Tenofovir Disoproxil Fumarate,NDA-2: New combination,JOHNSON & JOHNSON PTE. LTD.,29 Feb 2016,SIN14965P
LEMTRADA CONCENTRATE FOR SOLUTION FOR INFUSION 12 MG/1.2ML,Alemtuzumab,NDA-2: New strength / indication / dosing regimen,SANOFI-AVENTIS SINGAPORE PTE. LTD.,8 Jan 2016,SIN14919P
HARVONI TABLET 90MG/400 MG,Ledipasvir/Sofosbuvir,NDA-1: New chemical entity,GILEAD SCIENCES SINGAPORE PTE. LTD.,13 Jan 2016,SIN14920P
OFEV SOFT CAPSULES 100MG AND 150MG,Nintedanib,NDA-1: New chemical entityNDA-3: New strength,BOEHRINGER INGELHEIM PTE LTD,14 Jan 2016,"SIN14921P, SIN14922P"
SPIOLTO RESPIMAT INHALATION SOLUTION 2.5MCG/2.5MCG PER ACTUATION,Tiotropium/ Olodaterol,NDA-2: New combination,BOEHRINGER INGELHEIM SINGAPORE PTE. LTD.,20 Jan 2016,SIN14923P
JAKAVI TABLET 10MG,Ruxolitinib Phosphate,NDA-3: New strength,NOVARTIS (SINGAPORE) PTE LTD,25 Jan 2016,SIN14927P
"OSENI FILM COATED TABLET 12.5MG/15MG, 12.5MG/30MG, 25MG/15MG, 25MG/30MG",Alogliptin/Pioglitazone,NDA-2: New combinationNDA-3: New strength,TAKEDA PHARMACEUTICALS (ASIA PACIFIC) PTE. LTD.,26 Jan 2016,"SIN14929P, SIN14930P, SIN14931P, SIN14932P"
GAMUNEX-C SOLUTION FOR INFUSION 10%,Human Normal Immunoglobulin,"NDA-2: New indication, route of administration",GRIFOLS ASIA PACIFIC PTE. LTD.,26 Jan 2016,SIN14928P
OCTAPLEX POWDER AND SOLVENT FOR SOLUTION FOR INJECTION 500IU,"Factor II, IX, VII, X, Protein C and Protein S",NDA-1: New biological entity,WELCHEM PHARMACEUTICALS PTE LTD,28 Jan 2016,SIN14933P
