No.,No. Rujukan,No. Pendaftaran MAL,Nama Produk, Pemegang,Pengilang,Tempoh Pendaftaran,nan,Catatan
2,202006263905N,MAL2011611 7NCZ,SWISSE ULTIBOOST VITAMIN C 1000MG EFFERVESCENT TABLET,"HEALTH AND HAPPINESS (H&H) MALAYSIA SDN. BHD.,","LIPA PHARMACEUTIC ALS LIMITED, AUSTRALIA",18/11/2020,18/11/2025,New Product Registration
3,202009174254N,MAL2011611 8NCR,BSM UBIQUINOL 100MG SOFTGEL,BIO-SCIENCE MANUFACTURING SDN BHD,"FOOD PLANT OF FUJI CAPSULE CO., LTD., JAPAN",18/11/2020,18/11/2025,New Product Registration
4,202009164251N,MAL2011611 9N,NUZEEL OMEGA 3 FISH OIL 1000MG SUPRA SOFTGEL,CAMERON BIOSCIENCE (M) SDN BHD,ALPHA LABORATORIES (NZ) LTD. NEW ZEALAND,18/11/2020,18/11/2025,New Product Registration
5,202009254279N,MAL2011612 0NZ,DZR PHARMA VITA-C 500MG CHEWABLE TABLET (BLUEBERRY FLAVOUR),DZR PHARMA MANUFACTURE SDN. BHD.,DZR PHARMA MANUFACTURE SDN. BHD.,18/11/2020,18/11/2025,New Product Registration
6,202009104233N,MAL2011612 1N,APOTEC VITAMIN E 200IU CAPSULE,BIOALPHA INTERNATIONAL SDN. BHD,BIOALPHA INTERNATIONAL SDN. BHD,18/11/2020,18/11/2025,New Product Registration
7,202006163845N,MAL2011612 2N,FERRONOMIC LACTOFERRIN 100MG ENTERIC COATED TABLET,PAHANG PHARMACY SDN. BHD. SELANGOR,STANDFORD LABORATORIES PVT. LTD. INDIA,18/11/2020,18/11/2025,New Product Registration
8,202008144122N,MAL2011612 3NCZ,NUHEAL 365 C 150mg CAPSULE,NU HEAL 365 SDN BHD. JOHOR,EXCEL HERBAL INDUSTRIES SDN. BHD. SELANGOR,18/11/2020,18/11/2025,New Product Registration
9,202007294034N,MAL2011612 4NCR,MEGA WE CARE LIVOLIN-H SOFTGEL CAPSULES,MEGA LIFESCIENCES SDN. BHD. SELANGOR,"MEGA LIFESCIENCES PUBLIC COMPANY LIMITED, THAILAND",18/11/2020,18/11/2025,New Product Registration
10,202009174252N,MAL2011612 5N,GLUTAVITE CHEWABLE TABLET EFFERZON BRIGHT,DZR PHARMA MANUFACTURE SDN. BHD.,DZR PHARMA MANUFACTURE SDN. BHD.,18/11/2020,18/11/2025,New Product Registration
11,202007234005N,MAL2011612 6N,(VITAMIN C 1000MG + L- GLUTATHIONE + COLLAGEN,LONNIX (M) SDN. BHD.,LONNIX (M) SDN. BHD.,18/11/2020,18/11/2025,New Product Registration
12,202004013603N,MAL2011612 7NCR,BIO-LIFE ASTA- VIZION SOFTGEL CAPSULES,BIO-LIFE MARKETING SDN BHD,"MEGA LIFESCIENCES PUBLIC COMPANY LIMITED, THAILAND",18/11/2020,18/11/2025,New Product Registration
13,202009294298N,MAL2011612 8NC,IMMUP CAPSULE,SPECIAL ENHANCEMENT SDN BHD,ESPRIT CARE SDN. BHD.,18/11/2020,18/11/2025,New Product Registration
14,202007284023N,MAL2011612 9NC,GNC PROBIOTIC COMPLEX MULTI STRAIN 25 BILLION CFUS CAPSULE,ONI GLOBAL (MALAYSIA) SDN BHD,"CULTECH LIMITED, UNITED KINGDOM",18/11/2020,18/11/2025,New Product Registration
15,202009094226N,MAL2011613 0NCR,PROTECH VISTONIA SOFTGEL,PROTECH HEALTH SCIENCES (M) SDN BHD,VIVA PHARMACEUTIC AL INC.CANADA,18/11/2020,18/11/2025,New Product Registration
16,202009254282N,MAL2011613 1N,VSOLVE CRANBERRY + ELDERBERRY + INULIN+ VITAMIN C POWDER,DONG FOONG MANUFACTURING SDN BHD,DONG FOONG MANUFACTURI NG SDN BHD,18/11/2020,18/11/2025,New Product Registration
17,202008214149N,MAL2011613 2N,NUTRILITE DOUBLE X MULTIMINERAL COMPLEX TABLETS,"AMWAY (MALAYSIA) SDN. BHD.,","ACCESS BUSINESS GROUP LLC, UNITED STATED",18/11/2020,18/11/2025,New Product Registration
18,202008054069N,MAL2011613 3N,NUTRILITE DOUBLE X MULTIVITAMIN COMPLEX TABLETS,"AMWAY (MALAYSIA) SDN. BHD.,","ACCESS BUSINESS GROUP LLC, UNITED STATED",18/11/2020,18/11/2025,New Product Registration
19,202009154248N,MAL2011613 4NC,BIOWELL BTAVITE LYSINE PLUS CHEWABLE TABLET (ORANGE FLAVOUR),"SSJ PHARMA SDN BHD, MELAKA","WINWA MEDICAL SDN. BHD., PULAU PINANG",18/11/2020,18/11/2025,New Product Registration
20,202009254284N,MAL2011613 5NC,MAMARINE KIDS OMEGA-3 FISH OIL & LYSINE PLUS SYRUP,"AIPHARMA HEALTHCARE SDN BHD, JOHOR","SSP BIOTECH CO., LTD., THAILAND",18/11/2020,18/11/2025,New Product Registration
21,202009074223N,MAL2011613 6N,APOTEC D PLUS CAPSULE,BIOALPHA INTERNATIONAL SDN. BHD.,BIOALPHA INTERNATIONAL SDN. BHD.,18/11/2020,18/11/2025,New Product Registration
22,202009154242N,MAL2011613 7NC,BIOBAY NERVOPANE CAPSULE,GALAXIS HEALTHCARE SDN BHD. KUALA LUMPUR,ESPRIT CARE SDN. BHD. SELANGOR,18/11/2020,18/11/2025,New Product Registration
23,202010164359N,MAL2011613 8NC,GT&F® NUTRI CAPSULE,GTF WORLDWIDE SDN BHD. KUALA LUMPUR,"SHUN CHIEH BIO TECHNOLOGY CO., LTD. TAIWAN",18/11/2020,18/11/2025,New Product Registration
24,202010144347N,MAL2011613 9N,BONLIFE TONGKAT ALI EXTRACT WITH L- ARGININE CAPSULE,ORIENT LABORATORIES SDN. BHD. SELANGOR,ORIENT LABORATORIES SDN. BHD. SELANGOR,18/11/2020,18/11/2025,New Product Registration
25,202009244278N,MAL2011614 0N,JH NUTRITION PROGUTOR POWDER,EXCEL HERBAL INDUSTRIES SDN. BHD. SELANGOR,EXCEL HERBAL INDUSTRIES SDN. BHD. SELANGOR,18/11/2020,18/11/2025,New Product Registration
26,202010164366N,MAL2011614 1N,PROBIOGUARD CAPSULE,ORIENT LABORATORIES SDN. BHD. SELANGOR,ORIENT LABORATORIES SDN. BHD. SELANGOR,18/11/2020,18/11/2025,New Product Registration
27,202009254283N,MAL2011614 2N,UCARE CRANBERRY + INULIN WITH LACTOBACILLUS RHAMNOSUS & LACTOBACILLUS REUTERI POWDER,DONG FOONG MANUFACTURING SDN BHD SELANGOR,DONG FOONG MANUFACTURI NG SDN BHD SELANGOR,18/11/2020,18/11/2025,New Product Registration
28,202007063926N,MAL2011614 3NCR,VITAHEALTH VITAMIN B COMPLEX TABLET,VITAHEALTH BIOTECH SDN BHD SELANGOR,"ARNET PHARMACEUTIC AL CORPORATION, UNITED STATES",18/11/2020,18/11/2025,New Product Registration
29,202009034202N,MAL2011614 4N,YUSAIKA IMMUGUARD PROBIOTICS + CAPSULE,PROGYMS BIOPHARMA SDN BHD SELANGOR,PROGYMS BIOPHARMA SDN BHD SELANGOR,18/11/2020,18/11/2025,New Product Registration
30,202009284292N,MAL2011614 5NC,INFIMAX NEUROPRO TABLET,AESTHESUISSE SDN BHD. SELANGOR,ESPRIT CARE SDN BHD.,18/11/2020,18/11/2025,New Product Registration
31,202008174130N,MAL2011614 6N,PROBILO IMMU RANGER CAPSULE,"PROGYMS BIOPHARMA SDN BHD,","PROGYMS BIOPHARMA SDN BHD,",18/11/2020,18/11/2025,New Product Registration
32,202007203986N,MAL2011614 7N,GNC VITAMIN C 100MG WITH HESPERIDIN CAPSULE,"ONI GLOBAL (MALAYSIA) SDN BHD,","NUTRA MANUFACTURI NG LLC,UNITED STATES",18/11/2020,18/11/2025,New Product Registration
33,202010134334N,MAL2011614 8N,ASH II ELIGNACAP CAPSULE,"OMEGA HEALTH PRODUCTS SDN BHD,","OMEGA HEALTH PRODUCTS SDN BHD,",18/11/2020,18/11/2025,New Product Registration
34,202010194377N,MAL2011614 9N,BONLIFE FLEXY-3 CAPSULE,"ORIENT LABORATORIES SDN. BHD.,","ORIENT LABORATORIES SDN. BHD.,",18/11/2020,18/11/2025,New Product Registration
35,202010034315N,MAL2011615 0NC,CAMERON BIOSCIENCE PREGNANCY MULTIVITAMIN & MINERALS FILM COATED TABLET,"CAMERON BIOSCIENCE (M) SDN BHD,","ALPHA LABORATORIES (NZ) LTD.,NEW ZEALAND",18/11/2020,18/11/2025,New Product Registration
36,202010144346N,MAL2011615 1NC,HOLISTICA MIRTOSTAR CAPSULE,"ELDON HEALTHCARE SDN. BHD., JOHOR","QD HERBS SDN. BHD.,",18/11/2020,18/11/2025,New Product Registration
37,202005293768T,MAL2011603 6T,WHP NEW LIAN HUA QING WEN GRANULE,"WHITE HERON PHARMACEUTICAL SDN BHD, KUALA LUMPUR","WHITE HERON PHARMACEUTIC AL SDN BHD, KUALA LUMPUR",18/11/2020,18/11/2025,New Product Registration
38,202005273760T,MAL2011603 7TC,LAND HERBS NEW WU JIN WAN,"LAND HERBS SDN BHD, PERAK","WAN YEEN TRADING SDN BHD, PERAK",18/11/2020,18/11/2025,New Product Registration
39,202005143726T,MAL2011603 8T,"ZHI SOU SAN EXTRACT GRANULES ""C.F.T.""","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD, KUALA LUMPUR","CHUAN FENG TANG PHARMACEUTIC AL CO., LTD. (TAOYUAN), TAIWAN",18/11/2020,18/11/2025,New Product Registration
40,202005143731T,MAL2011603 9T,ZI YIN DI HUANG WAN EXTRACT GRANULES `C.F.T.,"CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD, KUALA LUMPUR","CHUAN FENG TANG PHARMACEUTIC AL CO., LTD. (TAOYUAN), TAIWAN",18/11/2020,18/11/2025,New Product Registration
41,202005143717T,MAL2011604 0T,"SAN ZHONG KUI JIAN TANG EXTRACT GRANULES ""C.F.T.""","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD, KUALA LUMPUR","CHUAN FENG TANG PHARMACEUTIC AL CO., LTD. (TAOYUAN), TAIWAN",18/11/2020,18/11/2025,New Product Registration
42,202005143722T,MAL2011604 1T,"WEN QING YIN EXTRACT GRANULES ""C.F.T.""","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD, KUALA LUMPUR","CHUAN FENG TANG PHARMACEUTIC AL CO., LTD. (TAOYUAN), TAIWAN",18/11/2020,18/11/2025,New Product Registration
43,202005143721T,MAL2011604 2T,"HUANG LIAN TANG EXTRACT GRANULES ""C.F.T.""","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD, KUALA LUMPUR","CHUAN FENG TANG PHARMACEUTIC AL CO, LTD (TAOYUAN), TAIWAN",18/11/2020,18/11/2025,New Product Registration
44,202005143715T,MAL2011604 3T,YI QI CONG MING TANG EXTRACT GRANULE “C.F.T.”,"CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD, KUALA LUMPUR","CHUAN FENG TANG PHARMACEUTIC AL CO, LTD (TAOYUAN), TCAHIUWAANN FENG",18/11/2020,18/11/2025,New Product Registration
45,202005143719T,MAL2011604 4T,SHAO YAO TANG EXTRACT GRANULE “C.F.T.”,"CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD, KUALA LUMPUR","TANG PHARMACEUTIC AL CO, LTD (TAOYUAN), TAIWAN",18/11/2020,18/11/2025,New Product Registration
46,202008034057T,MAL2011604 5T,KO DA DANG GUI NIAN TONG TANG EXTRACT GRANULE,"HENDA NATURAL SDN BHD, SELANGOR","KO DA PHARMACEUTIC AL CO LTD, TAIWAN",18/11/2020,18/11/2025,New Product Registration
47,202005203748T,MAL2011604 6T,WHP QF GRANULE,"WHITE HERON PHARMACEUTICAL SDN BHD, KUALA LUMPUR","WHITE HERON PHARMACEUTIC AL SDN BHD, KUALA LUMPUR",18/11/2020,18/11/2025,New Product Registration
48,202007143959T,MAL2011604 7TC,NUTRELL TONGKAT ALI PLUS CAPSULE,"PHYTO BIZNET SDN BHD, JOHOR","GN NEUTRICEUTICA LS SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
49,202007203989T,MAL2011604 8TC,HUACHI GINSENG PLUS CAPSULE,"PEMBEKALAN UBAT HUATHAI SDN BHD, JOHOR","WAN YEEN TRADING SDN BHD, PERAK",18/11/2020,18/11/2025,New Product Registration
50,202003063518T,MAL2011604 9TC,4LIFE BOUNTIFUL HARVEST CAPSULE,"FORLIFE RESEARCH IMPORTS SDN BHD, SELANGOR","BIOMEDICAL RESEARCH LAB LLC, UNITED STATES",18/11/2020,18/11/2025,New Product Registration
51,202006193861T,MAL2011605 0TC,LOVIRE SL PERAMA CAPSULE,"LOVIRE SDN BHD, KEDAH","DS PHARMA HERBS SDN BHD, KEDAH",18/11/2020,18/11/2025,New Product Registration
52,202003043510T,MAL2011605 1T,HAN BAO CAPSULE,"MING YI HOLDING SDN BHD, SELANGOR","MING YI HOLDING SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
53,202002243473T,MAL2011605 2TC,BIOTROPICS NU- FEMME VITA CAPLET,"BIOTROPICS MALAYSIA BERHAD, SELANGOR","YANLING NATURAL HYGIENE SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
54,202004273667T,MAL2011605 3TC,ZHITAKE CAPSULE,"MB NUTRACEUTICALS SDN BHD, KUALA LUMPUR","MORETH SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
55,202004133637T,MAL2011605 4TC,HOLISTICA COFLIX LIQUID,"ELDON HEALTHCARE SDN BHD, JOHOR","BIOFACT LIFE SDN BHD, JOHOR",18/11/2020,18/11/2025,New Product Registration
56,202006253897T,MAL2011605 5TC,HT ZHUI FENG SU HE WAN,"PEMBEKALAN UBAT HUATHAI SDN BHD, JOHOR","WAN YEEN TRADING SDN BHD, PERAK",18/11/2020,18/11/2025,New Product Registration
57,202002273481T,MAL2011605 6T,EU YAN SANG BOTANICAL BAK FOONG PILLS,"WENG LI SDN BHD, KUALA LUMPUR","WENG LI SDN BHD, KUALA LUMPUR",18/11/2020,18/11/2025,New Product Registration
58,202002193457T,MAL2011605 7TC,JAMMU QHITA CAPSULE,"RUZA RESOURCES MANUFACTURING SDN BHD, KEDAH","RUZA RESOURCES MANUFACTURI NG SDN BHD, KEDAH",18/11/2020,18/11/2025,New Product Registration
59,202001303357T,MAL2011605 8T,MUVEASE TABLET,"UNIMED SDN BHD, KUALA LUMPUR","MATXIN LABS PVT LTD, INDIA",18/11/2020,18/11/2025,New Product Registration
60,202002103410T,MAL2011605 9T,NATURE'S GREEN JOINT SWELLING & PAIN RELIEF TABLETS,"TONG JUM CHEW (M) SDN BHD, JOHOR","TONG JUM CHEW PTE LTD, SINGAPORE",18/11/2020,18/11/2025,New Product Registration
61,202006223869T,MAL2011606 0TC,SGR MORINGA PLUS CAPSULE,"TRADIPHARMA TRADE, KELANTAN","SERI MH UMMI SDN BHD, KELANTAN",18/11/2020,18/11/2025,New Product Registration
62,202001093275T,MAL2011606 1T,GNC HERBAL PLUS ENERGY FORMULA CAPSULE,"ONI GLOBAL (MALAYSIA) SDN BHD, KUALA LUMPUR","NUTRA MANUFACTURI NG INC, UNITED STATES",18/11/2020,18/11/2025,New Product Registration
63,202007173979T,MAL2011606 2T,TOKU TSURU LIVOCA CAPSULE 500MG,"ALPHA ACTIVE INDUSTRIES SDN BHD, SELANGOR","ALPHA ACTIVE INDUSTRIES SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
64,202007113954T,MAL2011606 3TC,GHONI WASIAN PERIA PLUS CAPSULE,"TRADIPHARMA TRADE, KELANTAN","SERI MH UMMI SDN BHD, KELANTAN",18/11/2020,18/11/2025,New Product Registration
65,202007073934T,MAL2011606 4TC,BIOGLAN ASHWAGANDHA CAPSULE,"PHARMACARE (ASIA) SDN BHD, SELANGOR","VITEX PHARMACEUTIC ALS PTY LTD, AUSTRALIA",18/11/2020,18/11/2025,New Product Registration
66,202005053694T,MAL2011606 5TC,KAPSUL QASEH,"TRADIPHARMA TRADE, KELANTAN","SERI MH UMMI SDN BHD, KELANTAN",18/11/2020,18/11/2025,New Product Registration
67,202001083270T,MAL2011606 6TC,PARUNA SYCOSCIB HERBS CASPULE,"PARUNA WORLD EMPIRE PLT, SELANGOR","SARI TANI DESA SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
68,202006053808T,MAL2011606 7T,APOTEC EXONE POWDER,"BIOALPHA INTERNATIONAL SDN BHD, SELANGOR","BIOALPHA INTERNATIONAL SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
69,202006113823T,MAL2011606 8T,WHP HUA RELIF CAPSULE,"WHITE HERON PHARMACEUTICAL SDN BHD, KUALA LUMPUR","WHITE HERON PHARMACEUTIC AL SDN BHD, KUALA LUMPUR",18/11/2020,18/11/2025,New Product Registration
70,202001203318T,MAL2011606 9TC,AGARTEA GAHARU TEABAG,"BBB ASIA CAPITAL BERHAD, KUALA LUMPUR","ENVIROTECH INDUSTRY SDN BHD, PERAK",18/11/2020,18/11/2025,New Product Registration
71,202001223335T,MAL2011607 0T,HQY SHANYAO PLUS PILL,"METRO SIGNATURE SDN BHD, SELANGOR","HANGZHOU HUQINGYUTAN G PHARMACEUTIC AL CO.,LTD, CHINA",18/11/2020,18/11/2025,New Product Registration
72,202003133544T,MAL2011607 1TC,DYNAMIC NUTRITION BIONATTO PLUS CAPSULE,"TONG JUM CHEW (M) SDN BHD, JOHOR","TONG JUM CHEW PTE LTD, SINGAPORE",18/11/2020,18/11/2025,New Product Registration
73,202001213326T,MAL2011607 2T,SEJAGAT MINT PLUS CAPSULE,"JASE HEALTHCARE SDN BHD, MELAKA","EXCEL HERBAL INDUSTRIES SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
74,202002133432T,MAL2011607 3T,CHING CHAO TAN,"SUPERPOWER GRAPE SEED SDN BHD, KEDAH","HIGH VALLEY CONTRACT MANUFACTURI NG (GMP) SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
75,202005193739T,MAL2011607 4TC,KA KAPSUL MORINGA PLUS PERIA KATAK,"BIO-SCIENCE MARKETING SDN BHD, KUALA LUMPUR","THE ORIGIN FOODS SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
76,202003183566T,MAL2011607 5T,EXCELAB ELDERBERRY PLUS IVY SYRUP,"DZR PHARMA MANUFACTURE SDN BHD, KEDAH","DS PHARMA HERBS SDN BHD, KEDAH",18/11/2020,18/11/2025,New Product Registration
77,202003103528T,MAL2011607 6T,NATURE’S BOUNTY TURMERIC CAPSULE,"SYNERCAM (M) SDN BHD, SELANGOR","MAXIMAA SYSTEMS LTD, INDIA",18/11/2020,18/11/2025,New Product Registration
78,202005203749T,MAL2011607 7T,WHP MALSING QF GRANULE,"NUTREE HERBS GLOBAL, KUALA LUMPUR","THE MITOMASA SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
79,202004143646T,MAL2011607 8TC,DS PHARMA JOINT SPRAY,"CHAI TECK SANG MEDICAL HALL SDN BHD, PERAK","TST BIOCEUTICAL SDN BHD, PERAK",18/11/2020,18/11/2025,New Product Registration
80,202002143440T,MAL2011607 9T,VIRGO ZOLNAX CAPSULE,"SPECIAL ENHANCEMENT SDN BHD, SELANGOR","BIOALPHA INTERNATIONAL SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
81,202008114103T,MAL2011608 0TC,DSY GREEN TEA & GINKGO BILOBA EXTRACT PLUS CAPSULE,"WYKON MEDICAL SDN BHD, PERAK","WAN YEEN TRADING SDN BHD, PERAK",18/11/2020,18/11/2025,New Product Registration
82,202001103279T,MAL2011608 1TC,HURIX’S GINSENG CHUANXIONG PLUS KAPSUL,"JIN BIN CORPORATION SDN BHD, KEDAH","J.B. PHARMACY GROUP SDN BHD, KEDAH",18/11/2020,18/11/2025,New Product Registration
83,202006033790T,MAL2011608 2TC,MEGALIVE LIVAXEN CAPSULE,"FEREENA BEAUTY & HEALTH SDN BHD, KEDAH","DS PHARMA HERBS SDN BHD, KEDAH",18/11/2020,18/11/2025,New Product Registration
84,202007073938T,MAL2011608 3TC,INFLAGARD TABLET,"NUTRI-HOME PHARMACEUTICAL INDUSTRIES SDN BHD, SELANGOR","NUTRI-HOME PHARMACEUTIC AL INDUSTRIES SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
85,202008054068T,MAL2011608 4TC,HUACHI GAN HUO WANG HERBAL TEA,"TRADIPHARMA TRADE, KELANTAN","SERI MH UMMI SDN BHD, KELANTAN",18/11/2020,18/11/2025,New Product Registration
86,202007173983T,MAL2011608 5T,NATURE’S GREEN GANLU SANXIAO CAPSULES,"TONG JUM CHEW (M) SDN BHD, JOHOR","TONG JUM CHEW PTE LTD, SINGAPORE",18/11/2020,18/11/2025,New Product Registration
87,202007083939T,MAL2011608 6TC,TEALOSOPHY ROIYALTEA ROOIBOS TEA + SOURSOP LEAVES,"JASE HEALTHCARE SDN BHD, MELAKA","EXCEL HERBAL INDUSTRIES SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
88,202002203460T,MAL2011608 7TC,SP VITIS VINIFERA 500MG EXTRACT SOFTGEL CAPSULE,"SUPERPOWER GRAPE SEED SDN BHD, KEDAH","HIGH VALLEY CONTRACT MANUFACTURI NG (GMP) SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
89,202008034051T,MAL2011608 8TC,BSM AS CAPSULE,"BIO-SCIENCE MARKETING SDN BHD, KUALA LUMPUR","THE ORIGIN FOODS SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
90,202007244007T,MAL2011608 9TC,DZR DEBFFRI CAPSULE,"DZR PHARMA MANUFACTURE SDN BHD, KEDAH","DS PHARMA HERBS SDN BHD, KEDAH",18/11/2020,18/11/2025,New Product Registration
91,202006303917T,MAL2011609 0TC,SISOSTUK CAPSULES,"SYNERCAM (M) SDN BHD, SELANGOR","MAXIMAA SYSTEMS LTD, INDIA",18/11/2020,18/11/2025,New Product Registration
92,202007073937T,MAL2011609 1TC,NUTREE HERBS MORINGA LEAVES CAPSULE,"NUTREE HERBS GLOBAL, KUALA LUMPUR","THE MITOMASA SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
93,202007284027T,MAL2011609 2TC,CAP GUNTING CHAI TECK SANG SHUI GAN TEH 12GM,"CHAI TECK SANG MEDICAL HALL SDN BHD, PERAK","TST BIOCEUTICAL SDN BHD, PERAK",18/11/2020,18/11/2025,New Product Registration
94,202004273668T,MAL2011609 3TC,ASWAXON CAPSULE,"SPECIAL ENHANCEMENT SDN BHD, SELANGOR","BIOALPHA INTERNATIONAL SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
95,202007203988T,MAL2011609 4TC,WYKON SO HUP WAN (BIG PILL),"WYKON MEDICAL SDN BHD, PERAK","WAN YEEN TRADING SDN BHD, PERAK",18/11/2020,18/11/2025,New Product Registration
96,202006153834T,MAL2011609 5TC,ACTISPORTS ACTI LITE BBR CAPSULE,"BIO-SCIENCE MANUFACTURING SDN BHD, KUALA LUMPUR","ESPRIT CARE SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
97,202008054066T,MAL2011609 6TC,FEREENA KAPSUL BUASIR,"FEREENA BEAUTY & HEALTH SDN BHD, KEDAH","DS PHARMA HERBS SDN BHD, KEDAH",18/11/2020,18/11/2025,New Product Registration
98,202006193862T,MAL2011609 7T,WAI YOEN HONG GOLD BRAND WU JIN WAN (TINY PILL),"NUTRI-HOME PHARMACEUTICAL INDUSTRIES SDN BHD, SELANGOR","NUTRI-HOME PHARMACEUTIC AL INDUSTRIES SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
99,202005053695T,MAL2011609 8TC,KAPSUL PUTERI AYU,"TRADIPHARMA TRADE, KELANTAN","SERI MH UMMI SDN BHD, KELANTAN",18/11/2020,18/11/2025,New Product Registration
100,202006023780T,MAL2011609 9TC,BSM IMMULINA CAPSULE,"BIO-SCIENCE MANUFACTURING SDN BHD, KUALA LUMPUR ORIENT","THE ORIGIN FOODS SDN BHD, SELANGOR ORIENT",18/11/2020,18/11/2025,New Product Registration
101,202005143711T,MAL2011610 0T,BONLIFE ORGANIC SACHA INCHI OIL 500 MG SOFTGEL,"LABORATORIES SDN BHD, SELANGOR","LABORATORIES SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
102,202007153964T,MAL2011610 1TC,TRUHERBS TIGER MILK MUSHROOM SCLEROTIA 300MG CAPSULE,"TRUHERBS SDN BHD, SELANGOR","THE ORIGIN FOODS SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
103,202006253893T,MAL2011610 2T,DYNA MILK THISTLE 100MG TABLET,"DIAMOND INTEREST SDN BHD, PULAU PINANG","DYNAPHARM HERBAL (M) SDN BHD, PULAU PINANG",18/11/2020,18/11/2025,New Product Registration
104,202003253577T,MAL2011610 3TC,VC CHLORELLA POWDER 6G,"VC FUTURE SDN BHD, KUALA LUMPUR","QUALITECH PHARMA CO, LTD, JAPAN",18/11/2020,18/11/2025,New Product Registration
105,202001223339T,MAL2011610 4T,DXN WILD BETEL 66.6MG PILL,"DXN PHARMACEUTICAL SDN BHD, KEDAH","DXN PHARMACEUTIC AL SDN BHD, KEDAH",18/11/2020,18/11/2025,New Product Registration
106,202007103953T,MAL2011610 5TC,GIANT B ROYAL JELLY 150MG SOFTGEL,"B-B TOWN SDN BHD, MELAKA","LONNIX (M) SDN BHD, MELAKA",18/11/2020,18/11/2025,New Product Registration
107,202003253578T,MAL2011610 6TC,VC FUTURE CHLORELLA TABLET 200MG,"VC FUTURE SDN BHD, KUALA LUMPUR","QUALITECH PHARMA CO, LTD, JAPAN",18/11/2020,18/11/2025,New Product Registration
108,202006253894T,MAL2011610 7T,DYNA SAW PALMETTO 80MG TABLET,"DIAMOND INTEREST SDN BHD, PULAU PINANG","DYNAPHARM HERBAL (M) SDN BHD, PULAU PINANG",18/11/2020,18/11/2025,New Product Registration
109,202006173855T,MAL2011610 8TC,SELECT ALOE VERA 300 MG POWDER (NATURAL FLAVOR),"MARKET MALAYSIA SHOP SDN. BHD, KUALA LUMPUR","STIK-PAK SOLUTIONS, INC, UNITED STATES",18/11/2020,18/11/2025,New Product Registration
110,202005063698T,MAL2011610 9TC,TIGERUS ORGANIC TIGER MILK MUSHROOM SCLEROTIA 300MG CAPSULE,"LIGNO BIOTECH SDN. BHD, SELANGOR","THE ORIGIN FOODS SDN BHD,SELANGOR",18/11/2020,18/11/2025,New Product Registration
111,202006243877T,MAL2011611 0T,HT CARE TIGER MILK MUSHROOM 200MG CAPSULE,"THE ORIGIN FOODS SDN BHD, SELANGOR","THE ORIGIN FOODS SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
112,202006113826T,MAL2011611 1T,KH RED YEAST RICE 300MG CAPSULE,"KIN HERBS PHARMA SDN BHD, KUALA LUMPUR","KIN HERBS PHARMA SDN BHD, KUALA LUMPUR",18/11/2020,18/11/2025,New Product Registration
113,202006093812T,MAL2011611 2TC,SELECT ALOE VERA 300MG POWDER (STRAWBERRY KIWI FLAVOR),"MARKET MALAYSIA SHOP SDN BHD, KUALA LUMPUR","STIK-PAK SOLUTIONS INC, UNITED STATES",18/11/2020,18/11/2025,New Product Registration
114,202006133832T,MAL2011611 3T,BONLIFE BIO LINGZHI 1.8G POWDER,"ORIENT LABORATORIES SDN BHD, SELANGOR","ORIENT LABORATORIES SDN BHD, SELANGOR",18/11/2020,18/11/2025,New Product Registration
